epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.33629,1.26066,1.60156,1.31789,0.64466,0.5294,0.61634,0.45651,1.08371,1.10753,1.1268,8.33e-06,8.33e-06,8.33e-06
2,6.00303,1.20718,1.4698,1.256,0.67071,0.54417,0.62592,0.46241,1.08079,1.07966,1.12456,1.69664e-05,1.69664e-05,1.69664e-05
3,8.47364,1.16196,1.39511,1.22354,0.68558,0.5441,0.63909,0.47146,1.07234,1.06015,1.12032,2.46604e-05,2.46604e-05,2.46604e-05
4,11.002,1.21505,1.41913,1.24819,0.69707,0.5756,0.65939,0.48883,1.06284,1.03205,1.11529,3.14118e-05,3.14118e-05,3.14118e-05
5,13.5353,1.16741,1.31456,1.22008,0.70819,0.60265,0.67311,0.49865,1.05034,1.01073,1.10655,3.72208e-05,3.72208e-05,3.72208e-05
6,16.0541,1.11952,1.25039,1.1816,0.75763,0.60541,0.68643,0.50963,1.04337,0.99037,1.10011,4.20873e-05,4.20873e-05,4.20873e-05
7,18.4951,1.16482,1.23821,1.22083,0.76617,0.61556,0.69278,0.51769,1.04217,0.97214,1.09902,4.60114e-05,4.60114e-05,4.60114e-05
8,20.979,1.11343,1.20445,1.16968,0.74166,0.6217,0.69954,0.52297,1.03538,0.94982,1.09397,4.89929e-05,4.89929e-05,4.89929e-05
9,23.5556,1.1626,1.23589,1.20136,0.77687,0.64133,0.71138,0.53547,1.01741,0.92116,1.08284,5.1032e-05,5.1032e-05,5.1032e-05
10,25.9443,1.07771,1.15841,1.18451,0.7879,0.64062,0.72096,0.54323,1.00628,0.90188,1.07727,5.21285e-05,5.21285e-05,5.21285e-05
11,48.1563,1.14624,1.30268,1.20821,0.76882,0.65664,0.72459,0.54818,1.00092,0.8933,1.07477,5.22827e-05,5.22827e-05,5.22827e-05
12,50.5345,1.11666,1.16771,1.15862,0.78396,0.65988,0.73555,0.55467,0.99431,0.87353,1.06816,5.14943e-05,5.14943e-05,5.14943e-05
13,52.9518,1.10647,1.14784,1.15514,0.76842,0.6557,0.7369,0.55638,0.992,0.85955,1.06613,4.8314e-05,4.8314e-05,4.8314e-05
14,55.3626,1.08906,1.11892,1.15177,0.77459,0.64545,0.74098,0.56196,0.98734,0.85393,1.06394,4.24235e-05,4.24235e-05,4.24235e-05
15,57.7443,1.09631,1.11293,1.15025,0.77128,0.64546,0.74267,0.56301,0.98567,0.85444,1.06312,3.6533e-05,3.6533e-05,3.6533e-05
16,60.0955,1.06382,1.07688,1.15094,0.74019,0.66176,0.74634,0.56528,0.98257,0.85047,1.06189,3.06425e-05,3.06425e-05,3.06425e-05
17,62.4675,1.08348,1.05285,1.14318,0.75374,0.66435,0.74737,0.56909,0.97774,0.84592,1.05901,2.4752e-05,2.4752e-05,2.4752e-05
18,64.8491,1.06324,1.04417,1.12921,0.75249,0.67013,0.75002,0.57319,0.97137,0.836,1.05492,1.88615e-05,1.88615e-05,1.88615e-05
19,67.2887,1.04865,1.01784,1.14179,0.76382,0.66772,0.74981,0.57513,0.96528,0.82728,1.05158,1.2971e-05,1.2971e-05,1.2971e-05
20,69.7757,1.05413,0.98371,1.11949,0.76172,0.67111,0.74977,0.57487,0.96457,0.8255,1.0508,7.0805e-06,7.0805e-06,7.0805e-06
