epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.81636,0.93764,3.24592,1.36346,0.79888,0.10211,0.31701,0.22541,0.81148,2.63277,1.24272,0.000297173,0.000297173,0.000297173
2,18.5602,0.8635,2.13929,1.25246,0.46406,0.53432,0.53215,0.39861,0.85458,1.65386,1.32655,0.00058829,0.00058829,0.00058829
3,27.1423,0.86746,1.85249,1.2258,0.41717,0.58681,0.56975,0.42992,0.9418,1.68292,1.38747,0.000867407,0.000867407,0.000867407
4,35.5861,0.852,1.65208,1.18485,0.49764,0.53417,0.57083,0.43578,0.84593,1.61786,1.30232,0.000855005,0.000855005,0.000855005
5,44.022,0.80341,1.57378,1.17387,0.59041,0.67075,0.65908,0.51408,0.81759,1.36414,1.2857,0.000837007,0.000837007,0.000837007
6,52.4263,0.7821,1.39081,1.14502,0.68019,0.63568,0.72038,0.54867,0.85745,1.27124,1.28769,0.000819009,0.000819009,0.000819009
7,60.8187,0.80291,1.3632,1.16377,0.71647,0.6981,0.76801,0.61388,0.78567,1.12843,1.2164,0.000801011,0.000801011,0.000801011
8,69.2269,0.76836,1.23029,1.13404,0.69613,0.64325,0.71815,0.56863,0.80723,1.19869,1.24574,0.000783013,0.000783013,0.000783013
9,77.8757,0.75017,1.158,1.11879,0.71943,0.77542,0.79152,0.604,0.88566,1.11045,1.25536,0.000765014,0.000765014,0.000765014
10,86.1736,0.72884,1.13661,1.10616,0.76609,0.74668,0.79546,0.64059,0.74616,0.96457,1.1932,0.000747016,0.000747016,0.000747016
11,94.5982,0.71,1.07899,1.10233,0.72105,0.61152,0.71734,0.57288,0.75202,1.08014,1.18856,0.000729018,0.000729018,0.000729018
12,102.873,0.71309,1.02223,1.08784,0.75198,0.78529,0.80634,0.64834,0.76266,0.9213,1.19475,0.00071102,0.00071102,0.00071102
13,111.103,0.69852,0.99927,1.08847,0.73799,0.74145,0.80455,0.64269,0.75579,0.89805,1.20704,0.000693022,0.000693022,0.000693022
14,119.417,0.70623,0.98907,1.09358,0.77783,0.75287,0.77848,0.62787,0.74015,0.97276,1.1836,0.000675023,0.000675023,0.000675023
15,127.725,0.69203,0.93049,1.08087,0.79221,0.78212,0.86253,0.71269,0.67331,0.80899,1.12914,0.000657025,0.000657025,0.000657025
16,136.08,0.67582,0.918,1.06991,0.75674,0.73837,0.81342,0.66916,0.6696,0.87507,1.13021,0.000639027,0.000639027,0.000639027
17,144.873,0.64987,0.87173,1.0507,0.85183,0.85368,0.89791,0.73862,0.67857,0.7278,1.11899,0.000621029,0.000621029,0.000621029
18,153.824,0.64645,0.83551,1.05819,0.80665,0.75024,0.82011,0.64702,0.69822,0.82885,1.16894,0.000603031,0.000603031,0.000603031
19,162.309,0.64356,0.83486,1.04832,0.8548,0.78026,0.87471,0.71732,0.68166,0.79678,1.14675,0.000585032,0.000585032,0.000585032
20,170.546,0.64525,0.78949,1.05468,0.84825,0.75387,0.84425,0.69548,0.64842,0.79323,1.10557,0.000567034,0.000567034,0.000567034
21,178.8,0.60657,0.77054,1.02678,0.76511,0.78743,0.84202,0.69411,0.67165,0.82594,1.13937,0.000549036,0.000549036,0.000549036
22,187.041,0.60695,0.74348,1.03098,0.81521,0.82339,0.86649,0.71916,0.68059,0.71839,1.13739,0.000531038,0.000531038,0.000531038
23,195.254,0.619,0.73808,1.04429,0.86366,0.72854,0.85273,0.6958,0.68975,0.73775,1.14328,0.00051304,0.00051304,0.00051304
24,203.592,0.60915,0.75319,1.03873,0.81916,0.73983,0.83649,0.68872,0.65176,0.7625,1.10314,0.000495041,0.000495041,0.000495041
25,211.864,0.60586,0.70653,1.0345,0.84666,0.8666,0.90388,0.7607,0.64192,0.65746,1.08975,0.000477043,0.000477043,0.000477043
26,220.128,0.57928,0.67657,1.02141,0.86709,0.79284,0.84819,0.70953,0.68193,0.73352,1.11662,0.000459045,0.000459045,0.000459045
27,228.32,0.58987,0.66819,1.01805,0.86734,0.79433,0.85783,0.71806,0.6695,0.70452,1.12167,0.000441047,0.000441047,0.000441047
28,236.645,0.58619,0.65717,1.02025,0.8929,0.80503,0.87348,0.73732,0.62243,0.66566,1.10422,0.000423049,0.000423049,0.000423049
29,244.994,0.57273,0.62838,1.0154,0.88626,0.81184,0.88345,0.74219,0.65122,0.68355,1.12785,0.00040505,0.00040505,0.00040505
30,253.246,0.5563,0.63311,1.00075,0.84555,0.81879,0.87033,0.73423,0.6523,0.71677,1.12266,0.000387052,0.000387052,0.000387052
31,261.797,0.56017,0.63409,1.00348,0.89376,0.76327,0.86179,0.72559,0.63348,0.67808,1.10042,0.000369054,0.000369054,0.000369054
32,270.191,0.55506,0.58668,1.00868,0.85641,0.7866,0.85342,0.72296,0.62405,0.72888,1.08542,0.000351056,0.000351056,0.000351056
33,278.535,0.56617,0.59213,1.00774,0.87243,0.80662,0.88815,0.76362,0.61073,0.66518,1.08628,0.000333058,0.000333058,0.000333058
34,286.974,0.54991,0.56838,1.00781,0.82775,0.87256,0.89556,0.76611,0.61558,0.62702,1.09308,0.000315059,0.000315059,0.000315059
35,295.416,0.54534,0.58044,0.99588,0.86677,0.84016,0.88067,0.75897,0.59306,0.60677,1.07511,0.000297061,0.000297061,0.000297061
36,303.781,0.53155,0.5528,0.98968,0.84108,0.90538,0.91118,0.79095,0.58151,0.56088,1.05084,0.000279063,0.000279063,0.000279063
37,312.005,0.52373,0.52892,0.98499,0.85359,0.86722,0.90115,0.77516,0.57164,0.59061,1.06283,0.000261065,0.000261065,0.000261065
38,320.642,0.53018,0.52699,0.99329,0.86829,0.85637,0.90209,0.79226,0.58781,0.56567,1.06175,0.000243067,0.000243067,0.000243067
39,329.132,0.51814,0.51921,0.98505,0.83021,0.84763,0.90216,0.78572,0.5633,0.59369,1.03889,0.000225068,0.000225068,0.000225068
40,337.568,0.51476,0.5198,0.98272,0.87597,0.83109,0.90712,0.79286,0.57591,0.59924,1.05249,0.00020707,0.00020707,0.00020707
41,366.849,0.4108,0.4082,0.91967,0.82231,0.81819,0.88101,0.75902,0.58324,0.64601,1.06252,0.000189072,0.000189072,0.000189072
42,375.062,0.40953,0.41307,0.92568,0.83845,0.87511,0.90687,0.77998,0.59199,0.569,1.07942,0.000171074,0.000171074,0.000171074
43,383.784,0.39397,0.37314,0.9047,0.87713,0.84473,0.89952,0.78022,0.57631,0.57744,1.07064,0.000153076,0.000153076,0.000153076
44,392.002,0.40049,0.36455,0.91882,0.86004,0.85064,0.89922,0.7781,0.58108,0.55797,1.06894,0.000135077,0.000135077,0.000135077
45,400.352,0.37253,0.34075,0.89454,0.83982,0.88098,0.90368,0.78618,0.57068,0.56369,1.07098,0.000117079,0.000117079,0.000117079
46,408.641,0.37977,0.33878,0.8923,0.89665,0.83242,0.90258,0.79565,0.57067,0.55842,1.07336,9.9081e-05,9.9081e-05,9.9081e-05
47,417.009,0.35795,0.31511,0.87735,0.91421,0.82514,0.91172,0.80117,0.56031,0.55462,1.07103,8.10828e-05,8.10828e-05,8.10828e-05
48,425.517,0.35706,0.31986,0.88806,0.9043,0.83778,0.91437,0.80198,0.57227,0.55415,1.07633,6.30846e-05,6.30846e-05,6.30846e-05
49,433.931,0.35019,0.3315,0.8845,0.8846,0.87549,0.91091,0.79915,0.56686,0.55017,1.07321,4.50864e-05,4.50864e-05,4.50864e-05
50,442.207,0.34351,0.30712,0.88841,0.88581,0.87434,0.90401,0.79715,0.55672,0.54225,1.06059,2.70882e-05,2.70882e-05,2.70882e-05
